Date,Amount,Currency,Description,Category,Sub Category,Paid By
24/03/2023,3.08,GBP,SPAR,Food & Drinks,Grocery,
24/03/2023,4.06,GBP,Food at office,Food & Drinks,Eating out,
24/03/2023,2.00,GBP,donnation,Other,Miscellaneous,
25/03/2023,37.18,GBP,sainsbary,Food & Drinks,Grocery,
25/03/2023,17.00,GBP,reading fish,Food & Drinks,Grocery,
25/03/2023,16.50,GBP,chopstick ,Food & Drinks,Eating out,
25/03/2023,4.75,GBP,poundland,Other,Shopping,
25/03/2023,35.62,GBP,Exotic,Food & Drinks,Grocery,
25/03/2023,11.60,GBP,amens Kitchen ,Food & Drinks,Take aways,
27/03/2023,34.75,GBP,Amazon,Other,Miscellaneous,
27/03/2023,1.33,GBP,SPAR,Food & Drinks,Grocery,
28/03/2023,138.00,GBP,Bulb Energy ,Utility,Gas & Electricity,
28/03/2023,8.99,GBP,Amazon,Entertainment,Subscription,
29/03/2023,3.00,GBP,SPAR,Food & Drinks,Grocery,
29/03/2023,6.00,GBP,school,Other,Miscellaneous,
29/03/2023,2.00,GBP,SPAR,Food & Drinks,Grocery,
31/03/2023,60.00,GBP,India A/C,Saving,Saving,
01/04/2023,32.00,GBP,York minster ,Vacation,Attraction,
01/04/2023,40.00,GBP,Maa,Allowance,Allowance_mom,
01/04/2023,100.00,GBP,Madhu ma,Allowance,Allowance_mom,
01/04/2023,7.30,GBP,Train,Transportation,Transport_Local,
01/04/2023,5.00,GBP,Tesco,Housing,Household Product,
01/04/2023,39.40,GBP,Tesco,Food & Drinks,Grocery,
01/04/2023,11.16,GBP,Tariq Meat,Food & Drinks,Grocery,
01/04/2023,16.70,GBP,Exotic,Food & Drinks,Grocery,
01/04/2023,10.64,GBP,amens Kitchen ,Food & Drinks,Take aways,
01/04/2023,3.14,GBP,SPAR,Food & Drinks,Grocery,
02/04/2023,8.99,GBP,Amazon,Entertainment,Subscription,
02/04/2023,3.96,GBP,Amazon,Other,Shopping,
03/04/2023,38.00,GBP,Thames Water,Utility,Water,
03/04/2023,41.00,GBP,Jorvik viking,Vacation,Attraction,
03/04/2023,14.50,GBP,Asda,Housing,Household Product,
03/04/2023,7.26,GBP,Grocery Asia,Food & Drinks,Grocery,
03/04/2023,1.99,GBP,SPAR,Food & Drinks,Grocery,
03/04/2023,23.00,GBP,Clifford Tower,Vacation,Attraction,
03/04/2023,33.00,GBP,Castle Museum,Vacation,Attraction,
05/04/2023,17.00,GBP,Bus,Transportation,Transport_Local,
05/04/2023,5.45,GBP,pret,Food & Drinks,Take aways,
05/04/2023,2.00,GBP,sainsbary,Food & Drinks,Take aways,
05/04/2023,2.50,GBP,SPAR,Food & Drinks,Take aways,
06/04/2023,1200.00,GBP,Rent'Apr,Housing,Rent,
06/04/2023,146.00,GBP,mountain Goat,Vacation,Sightseeing,
06/04/2023,14.00,GBP,cab,Transportation,Transport_Local,
07/04/2023,3.60,GBP,sainsbary,Food & Drinks,Grocery,
07/04/2023,23.95,GBP,bolton castle,Vacation,Attraction,
07/04/2023,4.75,GBP,Wensdale,Vacation,souvenirs,
07/04/2023,11.00,GBP,penny grath cafe,Food & Drinks,Eating out,
07/04/2023,17.50,GBP,sainsbary,Food & Drinks,Grocery,
07/04/2023,100.00,GBP,Madhu,Allowance,Allowance_Spouse,
07/04/2023,5.00,GBP,adaptor,Other,Miscellaneous,
08/04/2023,9.00,GBP,EE,Utility,Phone Bill,
08/04/2023,2.95,GBP,York minster ,Vacation,souvenirs,
08/04/2023,22.00,GBP,Mcdonalds,Food & Drinks,Eating out,
08/04/2023,12.00,GBP,sum up,Vacation,souvenirs,
08/04/2023,4.99,GBP,little saffron,Vacation,souvenirs,
08/04/2023,3.00,GBP,poundland,Other,Shopping,
08/04/2023,6.00,GBP,Yorks chocolates,Food & Drinks,Take aways,
08/04/2023,9.00,GBP,viking,Vacation,souvenirs,
08/04/2023,8.30,GBP,sainsbary,Food & Drinks,Grocery,
09/04/2023,26.50,GBP,Whitby abvey,Vacation,souvenirs,
09/04/2023,18.00,GBP,Royal Fisheries,Food & Drinks,Eating out,
09/04/2023,1.80,GBP,Costa Coffee ,Food & Drinks,Take aways,
09/04/2023,4.40,GBP,Tesco,Food & Drinks,Grocery,
10/04/2023,6.00,GBP,yourbag,Vacation,Miscellaneous,
10/04/2023,1.00,GBP,sainsbary,Food & Drinks,Grocery,
10/04/2023,22.00,GBP,Mcdonalds,Food & Drinks,Eating out,
10/04/2023,6.30,GBP,coffee ,Food & Drinks,Take aways,
10/04/2023,16.00,GBP,cab,Transportation,Transport_Local,
10/04/2023,22.30,GBP,deliveroo,Food & Drinks,Take aways,
10/04/2023,11.00,GBP,SPAR,Food & Drinks,Grocery,
11/04/2023,21.00,GBP,sky,Utility,TV & Broadband,
12/04/2023,1.15,GBP,Gather,Food & Drinks,Grocery,
12/04/2023,4.40,GBP,sainsbary,Food & Drinks,Eating out,
13/04/2023,22.00,GBP,SKY TV,Utility,TV & Broadband,
13/04/2023,25.10,GBP,Exotic,Food & Drinks,Grocery,
13/04/2023,5.07,GBP,amens Kitchen ,Food & Drinks,Eating out,
13/04/2023,9.57,GBP,SPAR,Food & Drinks,Grocery,
15/04/2023,22.40,GBP,Tariq Meat,Food & Drinks,Grocery,
15/04/2023,30.00,GBP,Tesco,Food & Drinks,Grocery,
15/04/2023,14.85,GBP,Exotic,Food & Drinks,Grocery,
15/04/2023,5.30,GBP,amens Kitchen ,Food & Drinks,Take aways,
15/04/2023,1.99,GBP,SPAR,Food & Drinks,Grocery,
17/04/2023,26.50,GBP,TV licence ,Entertainment,Subscription,
17/04/2023,168.00,GBP,reading council ,Housing,Council Tax,
18/04/2023,6.51,GBP,SPAR,Food & Drinks,Grocery,
19/04/2023,7.20,GBP,Gather,Food & Drinks,Take aways,
19/04/2023,18.45,GBP,Amazon,Personal care,Clothing(Other),
21/04/2023,5.00,GBP,Lyca ,Utility,Phone Bill,
21/04/2023,4.70,GBP,SPAR,Food & Drinks,Grocery,
21/04/2023,22.50,GBP,deliveroo,Food & Drinks,Take aways,
22/04/2023,8.58,GBP,Tariq Meat,Food & Drinks,Grocery,
22/04/2023,30.52,GBP,Tesco,Food & Drinks,Grocery,
22/04/2023,23.70,GBP,Exotic,Food & Drinks,Grocery,
23/04/2023,9.05,GBP,SPAR,Food & Drinks,Grocery,
24/04/2023,44.00,GBP,Amazon,Other,Miscellaneous,
24/04/2023,23.00,GBP,deliveroo,Food & Drinks,Take aways,
25/04/2023,3.40,GBP,Bus,Transportation,Transport_Local,
25/04/2023,2.00,GBP,other,Other,Miscellaneous,
